YWCA_NOUN _NOUN_,1088
You had_VERB,98357
Yet _PRON_,309521
Yours_PRON and,1290
Yosso_NOUN ,,1507
Yi_NOUN felt,2197
Yes'm_NOUN _._,1274
Ying_NOUN did,3586
Yessir .,1622
You Meng,34696
Your _PRON_,2118
Yunshu_NOUN _VERB_,2018
Yuan_NOUN Ming_NOUN,1383
Youth_NOUN League,3098
Your hair_NOUN,6708
Yet ,,384199
Your letters_NOUN,1287
Yi ?_.,2481
Yutian_NOUN _PRT_,1671
Yunfei 's_PRT,2354
Your loving_ADJ,3513
Your_PRON Royal,3168
Years Later_ADV,5522
Yessir_X ,_.,1241
You loved,4858
Yoshida _VERB_,1412
Yulia Mihailovna_NOUN,1217
Ying_NOUN _._,38324
You win,5615
Your own,11980
Yun Zi,1083
You_PRON clearly,3806
Your Holy,1884
Young America,1233
York_NOUN state,5087
Yet had,1006
Your Family,1481
Yun said_VERB,9416
Ying felt_VERB,1041
Your_PRON choices,1128
Yet_ADV unlike,1037
Yue'er_NOUN _PRT_,1131
Yet_ADV an_DET,1965
Yields _VERB_,1180
Yearbook_NOUN Volume_NOUN,12853
Your love_NOUN,8763
You build_VERB,1395
Years_NOUN War_NOUN,8360
Yucatán_NOUN Peninsula_NOUN,1872
You use_VERB,9340
Yu_NOUN Lie,2406
You_PRON paid,2243
Yueer _VERB_,1371
Yon_NOUN _NOUN_,2431
York Journal,1986
Yergin ,,1219
You_PRON absolutely_ADV,1658
Yichen_NOUN .,2175
Your soul_NOUN,3814
Yun_NOUN ._.,11890
Ying had,4867
Yield_NOUN and_CONJ,1798
Yes you_PRON,5828
Yes_X ",13745
You hide_VERB,1185
You_PRON open_VERB,3272
Your_PRON office,1173
York ;_.,18719
Yuntian_NOUN 's,1097
You call,13480
Yue 's,25277
You_PRON find,13957
Yoshi _VERB_,2442
Ying -,2216
Yet_ADV _PRT_,9305
You_PRON ask_VERB,16105
Yu_NOUN Wu,1162
Yellow_NOUN Pages,2259
Yellow Book,2066
Yew_NOUN _NOUN_,2783
Yu suddenly_ADV,3052
You_PRON imagine,1622
Yet_ADV -_.,1674
York papers_NOUN,1173
You can't,1100
Your_PRON plan_NOUN,3281
Yun_VERB Fan,2437
You '_VERB,186054
Yong _NOUN_,14064
You entered,1026
You_PRON must_VERB,405548
Yet_CONJ who,1688
You_PRON choose_VERB,4410
Yeast_NOUN _NOUN_,6721
You meet,2682
Yue_NOUN said_VERB,8094
You cut,2532
Your_PRON Home,2531
Youth_NOUN _._,41575
You place,2087
Yield Curve_NOUN,1316
You refused_VERB,1306
Yifei _PRT_,1717
Yun_NOUN could,3162
Yun_NOUN Zi,1083
Yes_X No_X,1071
Yun did_VERB,4885
Yu_NOUN also_ADV,3443
Yuan Dynasty,1849
Yet_CONJ in_ADP,3306
Yugoslavia_NOUN ,_.,19222
York Court_NOUN,1838
Yellow ,,5706
You_PRON will_VERB,678686
You_PRON Will,4786
Yucatan_NOUN Peninsula_NOUN,1239
You_PRON won_VERB,2835
You sent_VERB,6384
Yeats_NOUN and_CONJ,1819
Year_NOUN is,1408
Yeo_NOUN ,_.,4514
Yuan ?_.,1134
You will_VERB,678704
Yun_NOUN smiled,1365
Yucca_NOUN Mountain,1501
You meant_VERB,1912
Young_NOUN 's,36296
Yun ,_.,27243
Yue with_ADP,1080
Yet_ADV '_.,1061
York_NOUN would,2275
Young girls,3137
Yet_ADV _CONJ_,1653
Your majesty,14007
Young &_CONJ,2668
Yu_NOUN has_VERB,1634
You_PRON are,1154423
You_PRON better_ADJ,3608
Yun_NOUN Chao,1306
Your most,4234
You_PRON silly_ADJ,1575
Your_PRON Name_NOUN,3084
Yung_NOUN ,,2255
Yet_ADV more,2718
Yuehua _VERB_,2221
You_PRON asked,17881
Yugoslavia_NOUN to,1019
You lose_VERB,3995
You felt_VERB,4392
Yuyan _PRT_,2078
You_PRON dirty,1401
You_PRON for,14981
You_PRON who,8551
Your time,4741
Yet_ADV not,5657
Your Data_NOUN,2009
You three,3520
Your response,1389
You_PRON kissed_VERB,1964
Yokohama ,_.,3760
Yingying_NOUN ,,1244
Yu'er_NOUN ,_.,1068
You left,14573
Yu_NOUN ?,3844
Yearbook_NOUN _ADP_,19940
Yi ',5028
You fight,1817
You belong_VERB,5371
York_NOUN World,6130
You_PRON flatter,1929
York_NOUN Mets,1427
You_PRON might,195134
Your_PRON mom_NOUN,14064
You_PRON discover,1052
Your_PRON reputation_NOUN,1872
You act_VERB,4070
Young_ADJ _ADP_,2367
Yorks ._.,1019
York /,7045
You_PRON created_VERB,2450
Yiyun_NOUN _VERB_,2263
YorN_NOUN _NOUN_,1277
Young_ADJ (,1212
York_NOUN Herald,13205
York_NOUN Society,1272
Yong had_VERB,1239
Yu_NOUN sat_VERB,1142
You_PRON going,10089
Yoda _._,1857
You_PRON think,181486
Yonsei_NOUN University,1224
Your_PRON subordinate,1406
Your_PRON Children,1615
Yikes_NOUN _._,5569
You_PRON two_NUM,54086
You started,4566
You_PRON say,57487
Yu turned_VERB,2227
You add_VERB,1111
Yuri_NOUN was,1079
You came_VERB,27264
Yun_NOUN in,1180
You_PRON Think,5570
Young_NOUN _CONJ_,18489
York_NOUN that,4785
Yes Sir_NOUN,2956
Yu_NOUN with_ADP,3643
Your_PRON Turn,1461
Your Thoughts_NOUN,1397
Yule _VERB_,2293
Yue_NOUN was_VERB,13387
You moan,2251
You_PRON Need_VERB,13802
Yogi Berra,1905
You eat_VERB,4066
You wish,11544
Years_NOUN and,4632
Yours_PRON _ADP_,3976
Your Future_NOUN,1064
You say_VERB,57487
Yesterday afternoon,1777
Yuzhu _VERB_,2244
You_PRON opened,1529
Your Word_NOUN,4480
Yet_CONJ for,1078
You_PRON ..._.,56777
You arrive_VERB,1268
Yet still,5386
You_PRON learn,6839
You arrive,1268
Yuyao_NOUN _VERB_,1105
You_PRON bastard,6779
You_PRON look_VERB,144461
Yi_NOUN 's,33190
Years ._.,14372
Yet Jesus_NOUN,1202
You_PRON control,1173
Your real_ADJ,1402
You_PRON would,170890
You shall_VERB,75261
You met_VERB,5582
You lack_VERB,1096
Years_NOUN After_ADP,3606
York Times,343089
Yu_NOUN looked_VERB,9221
Yi _CONJ_,13448
Your_PRON best,5085
Years_NOUN after_ADP,5579
Yi_NOUN took_VERB,1831
Youth_NOUN "_.,1281
Yu_NOUN to_PRT,8434
Yo_ADJ -_.,1855
Yellow -,5918
You picked,2703
You always_ADV,42658
Yet it_PRON,72105
Yun Qian_NOUN,1904
York 's_PRT,38515
You would_VERB,170893
Yi Qing_NOUN,1408
Ying ,,22757
You suddenly_ADV,1186
Young_ADJ Readers_NOUN,2828
Young_NOUN Ladies_NOUN,1847
Your honour,1234
You fell_VERB,3385
Yun_NOUN Yun_NOUN,1599
Yunhe _VERB_,2158
Yu ?_.,3852
Yuntian 's,1098
You Might_VERB,1157
Yellow _VERB_,4022
Yet their_PRON,4873
Yu_NOUN H,1434
Yuwen _VERB_,1481
Yoga Sutras_NOUN,1466
You_PRON ...,56777
Yeats ._.,1581
Yost ,_.,2052
Yorkshire _PRT_,1770
Yes □,1893
Yet_ADV ',1184
Your_ADJ _._,2483
Yet such_ADJ,6841
Yumin_NOUN _VERB_,1493
Yuan could,2189
You open,3368
Yoko Ono_NOUN,1715
Yet_ADV _NUM_,6629
Youth ',1435
Yellen_NOUN _._,1144
Your World,1190
Your phone_NOUN,2541
Yuan -_.,1306
Yellow Springs,3537
Yes ma'am_NOUN,2031
You being_VERB,2323
Yiddish and,1848
Yuli _VERB_,1320
Young has,1103
Your_PRON obedient_ADJ,1218
Yes ?_.,58037
Yicheng_NOUN _ADV_,1016
Yun_NOUN ,_.,27194
Your_PRON experience_NOUN,1313
York Mets_NOUN,1425
Yu and,30066
Young adult_NOUN,1073
Yorkshire Post_NOUN,1196
Your goal_NOUN,5134
Yet_CONJ there,36248
Yunfeng was,1308
Young_ADJ (_.,1212
Yoshida _NOUN_,8598
You laughed_VERB,1126
Yun_NOUN nodded,1878
Your_PRON choice_NOUN,5263
You_PRON liked_VERB,3073
York_NOUN Tribune,8730
Yu who,3308
Yuck ._.,1709
Yip _NOUN_,2494
Young_NOUN Children_NOUN,9031
Yep_ADV ,,10994
You act,4070
You get_VERB,58741
Your main_ADJ,1145
Yu were_VERB,1756
Yuri_NOUN _._,5942
Yu_NOUN Qin,7104
Your_PRON problem,1404
Yeats ,,7006
Your_PRON Majesty_ADJ,4039
You began_VERB,1364
Yu_NOUN laughed_VERB,5024
Your_PRON hands_NOUN,9462
You only_ADV,28664
Yichen_NOUN ._.,2175
Your_PRON Organization,1237
Yes_ADV I,3256
Youthful_ADJ _NOUN_,2254
Yield of_ADP,1810
Younglove Crump,1300
Your_PRON Customer,1002
Your Spirit_NOUN,2353
Yvonne _ADP_,1066
Yes_X _CONJ_,1237
Yon _NOUN_,2483
Yin Qi,3998
Yi_VERB _PRT_,1842
Yisrael ,,1116
Younger_NOUN (_.,1506
You blame_VERB,1003
Your Test,1495
Yu Ye_NOUN,1186
Yun would,2267
Yoruba_NOUN _VERB_,1035
Yu Sheng,4637
York Police,1918
You Make_VERB,1506
York_NOUN Hospital_NOUN,1021
Yuzhu_NOUN _VERB_,2244
Yu_NOUN '_PRT,10972
Yemen_NOUN 's_PRT,2409
Yersinia_NOUN enterocolitica_NOUN,2077
Your legs_NOUN,2469
Yunfei_NOUN 's_PRT,2354
Yes --_.,11448
Years_NOUN earlier_ADV,1617
Yearbook_NOUN .,2167
Yikes ,_.,1316
Yes_X you_PRON,1184
Yin_NOUN Sect_NOUN,1058
Yeshua _._,4886
Yiyi_NOUN _PRT_,2176
You_PRON Ran,4159
Your_PRON world_NOUN,1631
You_PRON wore,1339
You swear_VERB,1401
You_PRON hardly,2332
Your_PRON Head,1847
Yikes_NOUN ,_.,1314
You going,10089
Yugoslavia ',1282
Yi_NOUN stood,1083
Yonsei University_NOUN,1224
Yours_PRON .,2825
Yerba _NOUN_,2143
Yes Yes,35394
Yoshida_NOUN _._,9813
Yuval_ADJ _._,1573
You_PRON notice,3829
You looked_VERB,11777
Years_NOUN of,63671
Yuanyuan _VERB_,2976
Yin Zhen_NOUN,1073
Your girl,1155
Yourself_PRON "_.,1021
Ypperstepræster og,3994
You_PRON Only_ADV,1180
Yours and,1341
York_NOUN I,2080
Years Ago_ADP,1047
Years_NOUN _NUM_,13885
You sleep,2619
YouTube_NOUN _VERB_,5619
Yueru _VERB_,1429
Young adults,2866
Your wisdom_NOUN,1135
York the_DET,3621
Younglove_NOUN Ordered_VERB,1881
You Get,2784
Yosef_NOUN _VERB_,2083
Your son,13110
Yet _ADV_,140207
Year_NOUN Plan_NOUN,5672
Your_PRON letters,1287
You mind_VERB,3471
Young et,4397
Yogi _._,3617
Yves_NOUN Congar_NOUN,1019
Yet_ADV _ADJ_,43124
Yiu _._,1299
Yesterday _._,31740
Yet while,7346
YouTube_ADJ _NOUN_,3468
You bastard,6803
Your_PRON little,5064
You fellows,1280
You_PRON then,9998
Young_NOUN Ireland,1101
Ying_NOUN _ADP_,4090
Your_PRON Holy_NOUN,1883
Year_NOUN _ADJ_,2945
Yearning_NOUN _ADP_,1341
Yesterday_NOUN _CONJ_,1746
Yonsei_NOUN _NOUN_,2136
You stood_VERB,2204
Your_PRON purpose_NOUN,1664
York _X_,4574
You seek_VERB,1723
Your_PRON Next,1883
Your_PRON right_NOUN,1116
You_PRON survived,1228
Yin and,9947
You doing,2451
Yhwh_NOUN _PRT_,2261
You_PRON pull,4347
You_PRON run_VERB,5483
Yes_X he,1470
Your story_NOUN,3070
YouTube in,1165
You already_ADV,23114
You_PRON fall_VERB,1430
Yuan_NOUN to,2653
Your_PRON power_NOUN,2747
YouTube_PRON is,1319
Yorick_NOUN _._,1362
Ys _._,1063
Yun_NOUN Feng_NOUN,2472
Your second,1432
Yunjie _CONJ_,1238
Young_ADJ master_NOUN,11553
Yu J,1819
Your_PRON car_NOUN,2915
You_PRON name_VERB,2884
You_PRON discover_VERB,1052
Yen_NOUN _NOUN_,5603
Young_NOUN Lady,1198
You gently,1074
Your_PRON horse,1436
Ypres_NOUN ._.,1547
Yi_NOUN Xue_NOUN,2360
Yemen 's,2409
Yugoslavia to_PRT,1019
Ying_NOUN nodded,1412
You _._,411640
Yu held,1032
Yearly Meeting,1637
Yours_PRON _CONJ_,1798
Your iPhone_NOUN,1203
Yiddish_ADJ _._,1675
Yorkers_NOUN ,_.,2313
Your_PRON Research_NOUN,1186
Yves_NOUN .,1354
You show_VERB,4132
Yunyi_NOUN 's_PRT,1048
Yip ,,3346
Yemenite_NOUN _NOUN_,1091
Your_PRON friend_NOUN,16926
You_PRON survived_VERB,1228
You_PRON lay,2203
Yes there,1219
Yhwh _._,2239
Youth _NUM_,2267
You_PRON come,21938
You_PRON just_ADV,114832
Your_PRON Free_ADJ,2784
Yu Dong,1176
You_PRON stare,1074
Yue'er ,_.,1392
You again_ADV,1620
You start_VERB,12177
Yu_NOUN Wan,1615
Young_ADJ children,8941
Yue_NOUN _ADP_,6352
You or,2917
Yun also,1607
You wanted,22880
Your_PRON Health,2358
You_PRON woke,1468
Yogi _VERB_,2791
Yoder _VERB_,2103
You_PRON care_VERB,4594
Yourself ,_.,2718
Yingjie_NOUN ._.,1550
Young master_NOUN,11663
Yokohama _NOUN_,3439
You deserved,1777
Your Brain_NOUN,3541
Yours of_ADP,1296
Yet_ADV Jesus_NOUN,1152
You name,2889
Yemen :_.,1353
Yi and_CONJ,13038
Yu_NOUN ,_.,117536
You trusted,1030
You hear,20754
Yijie _PRT_,1478
You were_VERB,329349
Yukon .,2336
Yoga is,3569
Younger brother,1184
Yield_NOUN :_.,8049
York_NOUN have,1039
Yunxi _._,2276
Youngest _NOUN_,1768
Your doctor,2195
Yesterday_NOUN 's,4308
Yum_NOUN _NOUN_,1666
Yue_NOUN Zhao,1139
Yon_NOUN _VERB_,1127
Yokohama .,1295
Yours _ADV_,24161
York Confessions,1125
You_PRON move_VERB,4730
Yes of_ADP,2149
Yet_ADV when,16657
Yourself_PRON .,1961
Your school,1282
York_NOUN Stock_NOUN,6770
Yokoyama _NOUN_,1698
Yu_NOUN Sheng_NOUN,4636
You wanna,10184
YouTube_NOUN _CONJ_,7557
Yule_NOUN -_.,1145
You lived,2137
Yog_NOUN _._,1240
Yoo _NOUN_,4529
You_PRON or,2916
Yun ._.,11892
Yu Le_NOUN,1339
You up,2431
Yeshua 's_PRT,1864
Your experience,1313
Ypperstepræsterne og_X,4450
Yourself_PRON _NOUN_,3391
Yet for,12254
Yunqi _VERB_,3291
Youngblood_NOUN ,_.,1278
You _ADV_,852796
Yue_NOUN was,13387
Ying_NOUN Ying,4645
Yi Nian_NOUN,7598
Yoo_NOUN _._,6475
Yichen and,1178
Yuwen_NOUN He,1114
Youth Development,2593
YorN _._,12169
Yet _ADP_,164753
York_NOUN /,7019
Younger_NOUN and,1098
Yin_NOUN .,3780
You show,4132
Your Honour,3043
Yiqing_NOUN _VERB_,3860
Yelena_NOUN _VERB_,2282
You become_VERB,5529
Yet we,21557
York_NOUN School,1734
Yum _._,5736
Yet_ADV those_DET,2731
York_NOUN County_NOUN,4299
York_NOUN ,_.,897298
You step,1580
Yolanda ._.,1340
You_PRON certainly_ADV,11565
Yu knew,1853
Years _PRT_,26686
Yes_NOUN No,21174
York _CONJ_,108463
You_PRON wanna,10184
Yugoslavia and_CONJ,6324
Ying_NOUN _VERB_,73447
Yun_NOUN Family,4647
York_NOUN law_NOUN,3590
York_NOUN was_VERB,13283
York_NOUN Society_NOUN,1272
Ying to_PRT,2413
You_PRON stole_VERB,4386
You agreed,2438
You_PRON judge,1071
Yum .,1850
Your personal_ADJ,2427
Your case_NOUN,1076
Yo _VERB_,2363
YorN _NOUN_,1282
Yi_NOUN !_.,1873
Your Head,1847
Yorkshire_NOUN _PRT_,1749
You kill_VERB,1981
Yu_NOUN Shuang,2275
Yunfei ._.,1209
Yugoslavia 's_PRT,3281
Your First,3193
You_PRON fill_VERB,1591
You_PRON tricked,1204
Yet there_DET,36217
Your spirit_NOUN,1716
Yu_NOUN glanced,1005
You et,1191
Yi_NOUN Yuan,2115
You_PRON lost_VERB,7004
Yellow_NOUN House,1284
You_PRON lead,2153
Your_PRON Way_NOUN,2642
Yu will_VERB,1215
Yuan_NOUN Ming,1383
You swore_VERB,1289
Yet God,2650
Year_NOUN for_ADP,2155
York_NOUN Review_NOUN,9951
Yin 's,4267
Yu_NOUN _NUM_,2881
You guys,63183
York ",4865
Yunfei _PRT_,3080
Your_PRON Face,1074
Yours_PRON ._.,2825
Yu_NOUN Hua_NOUN,1854
Ying_NOUN ._.,8248
Young_ADJ _NUM_,7404
Yue_NOUN is_VERB,2015
Yunnan_NOUN and_CONJ,1358
You_PRON dropped,1422
You_PRON throw_VERB,1602
Your dog,3454
Yevgeny_NOUN _NOUN_,2099
Yin was_VERB,2315
Yi turned_VERB,1313
Yin_NOUN and,9937
You belong,5371
Yunhan_NOUN _VERB_,5583
Your_PRON honor_NOUN,2330
You_PRON can,1591237
York Yankees_NOUN,4147
Yen_ADJ -_.,1496
Yucatan ,,2561
Your_PRON Imperial_NOUN,1100
Yikes _._,5582
You sleep_VERB,2619
Yue_NOUN heard,1243
Yorkshire and_CONJ,3214
Yes No_NOUN,21174
You push_VERB,3000
Youth_NOUN Violence,1178
Yu_NOUN turned_VERB,2227
Yet_ADV just,1551
Yoruba_NOUN .,1005
Yes_X it,6881
You dropped,1422
Yue_NOUN Lao_NOUN,1256
Young_NOUN .,14087
Yihan_NOUN _ADV_,1111
Your self_NOUN,1370
Yellowstone_NOUN and_CONJ,1157
Yu used,1009
YouTube_NOUN or,1242
Your_PRON Sins_NOUN,1306
YouTube_NOUN :,2755
Yin Yin,1394
York •_NOUN,1735
Your_PRON choice,5263
Yu Lie_VERB,1827
You reckon,1935
You_PRON receive,1691
You_PRON deserve,19745
Yum ,_.,1510
Yu_NOUN L,1039
Yesterday evening,1564
Yugoslavia _CONJ_,6922
Your_PRON Story,1607
You_PRON fool_VERB,3494
Yuqing_NOUN was,1002
Yue_NOUN had,7060
Yi did_VERB,7701
Yugoslavia_NOUN _ADV_,1595
Your Children,1621
Yue had_VERB,7060
York_NOUN Life_NOUN,1304
Yeltsin 's_PRT,3482
You_PRON slide_VERB,1169
You_PRON awake,1133
Yi_NOUN ,,43042
Years ?_.,1442
Your_PRON task,2895
Your_PRON position,1371
You stopped,2068
You Will_VERB,4783
Yong _ADV_,2516
Yearbook_NOUN _NOUN_,16212
Yvonne_NOUN had_VERB,1004
Yılmaz ,_.,1119
Yuri_NOUN Gagarin_NOUN,1574
Yue laughed,1939
Yunnan_NOUN and,1358
You Should_VERB,4715
You_PRON try,10111
You_PRON hired_VERB,1103
Your_PRON baby_NOUN,3349
Yuma_NOUN ,_.,1414
Your words_NOUN,7892
You ever,11321
You forgot,6328
Yogyakarta ,_.,1867
Yushi _PRT_,1055
Yule_NOUN ,,3030
Yin_NOUN _VERB_,17989
Young _PRT_,45687
Yu_NOUN X,1215
You_PRON reckon,1935
Youth _PRON_,1524
Yu heard,2812
Your_PRON Career,1091
You_PRON draw_VERB,1388
Yourself _VERB_,2777
Yep_ADV ,_.,10994
Yi in_ADP,1813
Yi Mo,1394
Yi_NOUN Xiu,1822
Yi_NOUN in,1697
Yue said_VERB,8094
Yosemite _PRT_,1078
Young_NOUN Prince,1653
You_PRON lot,1468
Your_PRON Eyes_NOUN,2637
York_NOUN ?_.,10998
Your _ADJ_,257877
Yun_NOUN Yang,1880
You_PRON of,3755
You_PRON tried,6352
Yue Yue,1605
York_NOUN magazine_NOUN,1755
Ying 's,16552
Yield of,1811
Yiyi_NOUN _._,3667
Yichen _ADP_,1146
You Love,2975
Yellowstone Park_NOUN,1810
Younger _NOUN_,23655
Yuwei_NOUN 's,1956
Yunxi_NOUN _VERB_,7186
Yin Nan,2112
Yin_NOUN Tao,1042
Yue '_PRT,3407
Yu_NOUN stood,1934
You_PRON offered,1301
You OK,3427
Your_PRON ..._.,1603
You like,36634
Your_PRON case,1076
Yet another,23659
Yun Xiao,1442
Your mind,9170
You all,37767
Your_PRON very_ADV,1787
Yet her,5289
You_PRON drop_VERB,1230
Yorkers .,1655
Ying_NOUN was,10941
You acted,1330
Yorktown ,_.,2993
Your_PRON self_NOUN,1370
Years_NOUN passed,1940
Yoon et,1784
Yichen_NOUN 's,6038
Yorkshire ._.,7254
Your_PRON only_ADJ,3308
Yu_NOUN Chen_NOUN,8684
York Central,3125
Yourell Mr.,2201
Yet _PRT_,9617
Yunxi_NOUN 's,1746
Yerushalmi _._,1626
Yet here,10775
Yersinia pestis,2414
Yes_NOUN _VERB_,6000
Ypperstepræster _X_,5025
Yurou_NOUN _VERB_,1762
Your_PRON eye,1302
You misunderstand,2104
You flatter,1929
You_PRON with,4585
Yeh_NOUN _NOUN_,4464
Yemen )_.,1668
Yoder _NOUN_,1487
Yuval Noah_NOUN,1498
Yun_NOUN was_VERB,15058
You_PRON bitch,2801
Yifan_NOUN _ADV_,1194
Yin_NOUN -,3995
Your_PRON Honour,3043
Your_PRON most_ADV,3363
Yeh_X ,,4017
Year_NOUN Old,1043
Yikes !,1819
You_PRON set,5557
York ',7520
Yu_NOUN Jing_NOUN,3104
Young Man_NOUN,8342
Your_PRON grandfather_NOUN,5919
Ypperstepræster_X _X_,5025
York the,3622
Yucatec_NOUN _NOUN_,1033
Yesterday_NOUN afternoon_NOUN,1719
Youngs ,_.,1674
York_ __,3324
YouTube_NOUN video_NOUN,5807
Yes_ADV _NOUN_,1416
Yoshikawa_NOUN ,,2901
Yu_NOUN Hong_NOUN,2571
Yuyan _VERB_,5917
Youths _._,1308
Your Hand_NOUN,1159
Yi_NOUN :,1134
Yu_NOUN Sheng,4636
Your Mind,4350
Yong_NOUN .,2205
Yokoyama_NOUN ,,2138
Your servants_NOUN,1276
Yep_NOUN .,37430
Year_NOUN after,3956
You travel,1047
Yesterday was,3091
Yum_NOUN ._.,1850
You_PRON from,1891
You called_VERB,10244
York law,3590
Yum_NOUN _._,5686
You offered,1301
Years_NOUN before_ADV,1640
You_PRON clean_VERB,1043
Yu_NOUN (_.,2892
You_PRON handled_VERB,1103
Yip_NOUN _._,4933
Youth_NOUN (_.,4053
You_PRON Make_VERB,1506
Your_PRON doctor_NOUN,2195
Young_NOUN v.,1022
Your_PRON Excellency_NOUN,9462
Yeung_NOUN _._,5743
Your_PRON Brain,3541
Young Miss_NOUN,2726
York_NOUN ._.,251523
You_PRON stop_VERB,3438
Yuan_NOUN would,1853
Yugoslavian _NOUN_,2637
Yun saw,1319
You_PRON folks_NOUN,1323
Yitzhak Rabin,2045
You_PRON belong,5371
Your_PRON physical_ADJ,1006
You teach_VERB,1573
You murdered_VERB,1141
You_PRON women_NOUN,1161
Young Master_NOUN,119029
Yu Tian_NOUN,3521
You ..._.,56784
You_PRON often,3009
Your_PRON Grace,17059
Young_NOUN had,2968
Yu_NOUN came,1289
Yun_NOUN is_VERB,2030
Yu heard_VERB,2810
Yun_NOUN -_.,1466
You_NOUN and,2035
Yun_NOUN 's,25345
Yutian_NOUN 's_PRT,1233
Yong 's,4847
Yellow Emperor,3495
Yue_NOUN could_VERB,2694
Years_NOUN .,14372
Yes_X ?_.,55865
You almost,6778
Yin_NOUN said,1098
You underestimate_VERB,1054
You are,1154550
Your true,1533
Yes_NOUN Yes_NOUN,32354
Your_PRON work,5495
Your_PRON organization_NOUN,1309
Yet_ADV his,10691
You work,10661
You dirty,1403
You pulled_VERB,1764
Yuqing_NOUN _PRT_,1920
You felt,4392
Yu_NOUN Feng_NOUN,2222
Young Turks_NOUN,4117
You judge_VERB,1071
Your family,12033
You see_VERB,226083
Year_NOUN with_ADP,1809
Yet_CONJ most,2902
Yellow pigment_NOUN,1368
Yu Wei,4964
Your faith_NOUN,2384
Yu had_VERB,20681
Yin had_VERB,1125
Yutang_NOUN _VERB_,1512
Yue_NOUN ?_.,1662
You mentioned,9362
Yi said_VERB,9281
Youth_NOUN is_VERB,2404
Your Knowledge_NOUN,1841
You_PRON remain,1201
You_PRON to,9101
Yixuan_NOUN ,_.,1078
Yorkshire_NOUN Post,1196
Your car_NOUN,2915
You taught_VERB,3821
Your servant,7216
Yun Luo_NOUN,2268
YouTube_NOUN (,1500
Yuxin 's_PRT,1252
Yuan_NOUN laughed_VERB,1404
Yu could,8394
Yichen_NOUN _ADP_,1146
Yolanda_NOUN _NOUN_,2968
Your_PRON own_ADJ,11976
Yuyan_NOUN 's_PRT,1624
Yoshikawa _NOUN_,2216
Yijing_NOUN _._,1219
You ride,1478
Years_NOUN at_ADP,1991
Yoga_NOUN (,1081
You 've,483334
Yekaterinburg _._,1052
York_NOUN ",4863
Yes_ADV and_CONJ,8466
Yucatan ,_.,2554
Yoo ,,6877
You beat,1893
You and_CONJ,137581
You_PRON bunch_NOUN,1018
Yong -,2653
Yes_X _VERB_,2360
York apartment,1196
Yi_VERB suddenly,1941
Yet other_ADJ,2446
Your_PRON Own_ADJ,15973
Year_NOUN by,2637
Your_PRON career_NOUN,1287
Yi_NOUN Qing,1105
Younger_NOUN _NOUN_,12747
Yu_NOUN Rou,1128
Yeats .,1581
You_PRON suspect_VERB,1750
Yields_NOUN _ADP_,2304
Your_PRON _._,6300
Yi_NOUN (_.,1233
Year_NOUN to_PRT,2270
Yoon _._,12712
Yet there_ADV,1950
Young_NOUN 's_PRT,36276
Your kingdom_NOUN,1800
Yugoslavia_NOUN :_.,1589
You survived,1228
You_PRON loved_VERB,4858
Yin_NOUN (_.,2500
You speak_VERB,16089
Yin_NOUN ,,25979
You_PRON Were,2833
Yi_NOUN ?,2266
Yeo _NOUN_,2590
You_PRON need_VERB,265682
Young_NOUN has_VERB,1093
Youth_NOUN for_ADP,1518
Yielding_VERB _PRT_,1305
Yunqing _VERB_,1016
Years from_ADP,1041
Your_PRON highness_NOUN,4888
Your loss_NOUN,1183
Young_NOUN Sect,1805
Yehuda_NOUN _._,3873
Young_NOUN ,,82242
You_PRON that_DET,1400
Ypperstepræster og_X,3993
You_PRON being,2323
Yo _NOUN_,6096
You absolutely_ADV,1658
You might,195156
Yoga_NOUN _NOUN_,19860
You kept_VERB,5417
Yiyi_NOUN _VERB_,5618
Yourself _DET_,1711
You_PRON Like_VERB,6625
Yu_NOUN went,1011
Yi_NOUN shook,1244
Yourself_PRON ,_.,2662
Your_PRON Son_NOUN,1911
Yorke_NOUN 's,1560
You_PRON shake_VERB,1032
Yushi _VERB_,2874
Yolanda_NOUN _._,3764
You close_VERB,1053
Your_PRON response_NOUN,1384
You treat_VERB,2179
Yuri was_VERB,1079
Yiran 's,1398
Your Business_NOUN,3981
Yugoslavs_NOUN _._,1290
Youth_NOUN _CONJ_,18562
Yi_NOUN turned_VERB,1303
You usually,2615
Yunxi ,,1255
Yuba_NOUN _NOUN_,1635
You finished_VERB,1241
Yucatán _NOUN_,3302
Yuan ,_.,36614
Years Study,4825
Yet_ADV such,6414
York Amsterdam,2436
Yield ,_.,1508
You close,1137
You_PRON murdered_VERB,1141
Young_NOUN was,4555
Yun Yi,18314
Yue_NOUN Xiang,1501
Yisrael_NOUN ,,1115
Yorkers_NOUN _VERB_,6377
Yourself :_.,1309
You_PRON My,1044
Yi_NOUN laughed,3447
You_PRON told,40781
Yunjie and_CONJ,1228
You_PRON lot_ADV,1464
Yet_ADV God_NOUN,2487
You barely_ADV,2222
Yu_NOUN gave_VERB,1037
Yellow_NOUN House_NOUN,1284
Yi Xuan_NOUN,1211
Your_PRON friend,16926
Yonkers_NOUN ,,2003
You_PRON decide_VERB,7384
You first_ADV,5432
Yemeni_NOUN _NOUN_,7329
Younger_NOUN ,_.,7320
You_PRON murdered,1141
Yunfei ,_.,1753
